Tiempo (s)	Voltaje de entrada (V)	Corriente de salida (A)
3.053053053	14.30378733	0.143039066
3.063063063	14.30378733	0.143038911
3.073073073	14.30378733	0.143038766
3.083083083	14.30378733	0.14303863
3.093093093	14.30378733	0.143038506
3.103103103	14.30378733	0.143038393
3.113113113	14.30378733	0.14303829
3.123123123	14.30378733	0.143038199
3.133133133	14.30378733	0.143038118
3.143143143	14.30378733	0.143038048
3.153153153	14.30378733	0.143037987
3.163163163	14.30378733	0.143037935
3.173173173	14.30378733	0.143037891
3.183183183	14.30378733	0.143037855
3.193193193	14.30378733	0.143037826
3.203203203	14.30378733	0.143037803
3.213213213	14.30378733	0.143037786
3.223223223	14.30378733	0.143037773
3.233233233	14.30378733	0.143037764
3.243243243	14.30378733	0.143037759
3.253253253	14.30378733	0.143037757
3.263263263	14.30378733	0.143037757
3.273273273	14.30378733	0.143037759
3.283283283	14.30378733	0.143037763
3.293293293	14.30378733	0.143037768
3.303303303	14.30378733	0.143037774
3.313313313	14.30378733	0.143037781
3.323323323	14.30378733	0.143037789
3.333333333	14.30378733	0.143037796
3.343343343	14.30378733	0.143037804
3.353353353	14.30378733	0.143037812
3.363363363	14.30378733	0.143037819
3.373373373	14.30378733	0.143037826
3.383383383	14.30378733	0.143037832
3.393393393	14.30378733	0.143037839
3.403403403	14.30378733	0.143037844
3.413413413	14.30378733	0.143037849
3.423423423	14.30378733	0.143037854
3.433433433	14.30378733	0.143037858
3.443443443	14.30378733	0.143037861
3.453453453	14.30378733	0.143037864
3.463463463	14.30378733	0.143037867
3.473473473	14.30378733	0.143037869
3.483483483	14.30378733	0.143037871
3.493493493	14.30378733	0.143037873
3.503503504	14.30378733	0.143037874
3.513513514	14.30378733	0.143037876
3.523523524	14.30378733	0.143037876
3.533533534	14.30378733	0.143037877
3.543543544	14.30378733	0.143037878
3.553553554	14.30378733	0.143037878
3.563563564	14.30378733	0.143037878
3.573573574	14.30378733	0.143037878
3.583583584	14.30378733	0.143037878
3.593593594	14.30378733	0.143037878
3.603603604	14.30378733	0.143037878
3.613613614	14.30378733	0.143037878
3.623623624	14.30378733	0.143037877
3.633633634	14.30378733	0.143037877
3.643643644	14.30378733	0.143037877
3.653653654	14.30378733	0.143037876
3.663663664	14.30378733	0.143037876
3.673673674	14.30378733	0.143037876
3.683683684	14.30378733	0.143037876
3.693693694	14.30378733	0.143037875
3.703703704	14.30378733	0.143037875
3.713713714	14.30378733	0.143037875
3.723723724	14.30378733	0.143037875
3.733733734	14.30378733	0.143037874
3.743743744	14.30378733	0.143037874
3.753753754	14.30378733	0.143037874
3.763763764	14.30378733	0.143037874
3.773773774	14.30378733	0.143037874
3.783783784	14.30378733	0.143037874
3.793793794	14.30378733	0.143037874
3.803803804	14.30378733	0.143037874
3.813813814	14.30378733	0.143037873
3.823823824	14.30378733	0.143037873
3.833833834	14.30378733	0.143037873
3.843843844	14.30378733	0.143037873
3.853853854	14.30378733	0.143037873
3.863863864	14.30378733	0.143037873
3.873873874	14.30378733	0.143037873
3.883883884	14.30378733	0.143037873
3.893893894	14.30378733	0.143037873
